Unnamed: 0,ID,RAdeg,DECdeg,G_mag,g_mag,g_r,logExcess,Gp_G,Pext,Pgc
17145,2859293049027758720,8.782051,31.004341,20.347,19.114,0.752,0.946,-2.027,0.99,0.0
9831,379179297943025664,6.232764,38.517954,20.446,19.122,0.845,1.186,-2.396,1.0,0.01
9355,377662594668739456,13.367606,45.920724,20.371,18.758,0.829,1.132,-2.478,1.0,0.0
11746,386499266541063296,0.818314,44.876697,21.688,19.093,0.187,1.337,-3.048,1.0,0.04
17576,2858423541488193152,9.61421,29.885057,21.089,18.917,0.988,1.513,-2.991,1.0,0.0
19671,2874292930252930944,1.672872,33.105774,20.574,19.036,0.749,1.035,-2.425,0.99,0.0
6941,371062638682254080,16.531274,39.364104,19.484,17.76,1.024,1.339,-2.685,1.0,0.05
649,311290266018435200,14.163775,29.665322,21.507,18.33,0.395,1.573,-3.461,1.0,0.1
840,312804774565858304,13.163756,31.432308,20.527,19.434,1.114,1.036,-2.167,1.0,0.0
8049,373631712025202560,18.189903,43.634057,19.01,18.743,0.667,0.548,-0.932,0.83,0.09
4233,362805443796233856,14.606194,34.530315,19.869,18.636,0.61,0.944,-1.991,1.0,0.02
7776,372826633290643840,19.225965,41.469651,19.733,18.264,0.694,1.117,-2.291,1.0,0.0
5644,366757500903664768,9.055999,37.657005,21.737,19.459,0.506,1.458,-2.851,1.0,0.11
