ID,RADEG_x,DECDEG_x,CLASS,DATATABLE,Object ID,RADEG_y,DECDEG_y,Nearest field,Distance to nearest field
SK059A,10.7910917,41.3169167,1,m31rbcV5,3.8126744662777574e+17,10.791034,41.316883,m248,35.225776988495014
B152,10.7917333,41.3043861,1,m31rbcV5,3.8126734354856806e+17,10.791693,41.30445,m248,34.163213261515146
B356,10.7931542,41.8420083,1,m31rbcV5,3.813145881922797e+17,10.793124,41.841983,m266,23.662859706629025
B153,10.7942542,41.2475861,1,m31rbcV5,3.692575154696572e+17,10.794243,41.247581,m248,29.672548929287533
B154,10.8018958,41.2680222,1,m31rbcV5,3.692575498318011e+17,10.801875,41.268024,m248,30.68883645661935
B357,10.8051333,40.1823306,1,m31rbcV5,3.690689835844147e+17,10.805118,40.182328,m228,0.9817081606899182
B155,10.8058417,41.0578389,1,m31rbcV5,3.692463485547337e+17,10.80576,41.05784,m248,22.17903674572727
B156,10.8072375,41.0215722,1,m31rbcV5,3.692462454755263e+17,10.807192,41.021607,m248,22.846223759000367
B157,10.8083875,41.1887861,1,m31rbcV5,3.692560723572243e+17,10.808269,41.188797,m248,25.014663398957833
B159,10.811025,41.4203806,1,m31rbcV5,3.8127050464189274e+17,10.811003,41.420412,m248,43.671031037934824
B160,10.8122417,41.0265194,1,m31rbcV5,3.692462454779976e+17,10.812207,41.026505,m248,22.293523515894694
B161,10.8142333,41.1903194,1,m31rbcV5,3.692560380009217e+17,10.814224,41.190257,m248,24.661709692747543
B162,10.818375,41.4012361,1,m31rbcV5,3.8126937077664896e+17,10.81834,41.401259,m248,41.52086322472379
B098D,10.8225,41.5250028,1,m31rbcV5,3.8129747704260685e+17,10.82229,41.524869,m266,42.161767754426336
B358,10.8244208,39.8203278,1,m31rbcV5,3.690251405564115e+17,10.824397,39.820299,m228,40.12621803987514
