,ID,RAdeg,DECdeg
5717,367430981839490304,10.59869,37.242972
5725,366996129286260352,7.790924,37.899982
5736,367921368321952640,12.005811,38.568889
5783,367726235072369408,12.695286,38.280786
5786,367734829301691136,12.436081,38.310464
5798,367624465822022784,12.527468,37.407589
5832,367771869100612224,13.219991,38.370528
5856,368307812297831936,9.838922,38.508049
5894,368124159497431680,12.175079,39.579016
5916,368185865292431872,9.978256,37.63011
5984,368589012398027392,9.035838,39.291631
6024,368213769694144640,10.367387,37.821232
6036,368362130749962112,11.04574,38.806791
6040,368243250349328000,9.516069,37.733383
6049,368501773022276864,9.67836,38.764431
6076,368691954173770240,9.539801,39.664331
6084,368758165389789568,11.066838,39.199524
6098,368748471647766528,11.45593,39.162769
6129,368714906479339392,9.655911,39.679866
6144,368846641715861632,11.411002,39.664381
6151,368381994974016384,10.147945,38.42664
6159,368410444837763840,10.222441,38.881268
6167,369116468740098560,10.064088,40.462775
6168,369119110147605120,10.201612,40.584935
6169,369119698557873024,10.558855,40.293451
6172,369122687852962304,10.618543,40.414133
6176,369133751689225856,10.600528,40.628816
6182,368884398773431552,12.228565,39.813393
6205,369243015660371456,10.758105,40.883968
6207,369244355692396544,10.709079,40.960603
6208,369245867515601664,10.800911,41.023901
6209,369246245475526272,10.807192,41.021607
6210,369246245477997568,10.812207,41.026505
6211,369246348554733696,10.80576,41.05784
6212,369246898310563456,10.643257,40.952565
6213,369247065814142848,10.604329,40.954895
6214,369247310627413376,10.638216,41.007318
6215,369248032181920768,10.614133,40.993325
6216,369248410141502976,10.587794,41.049285
6218,369249097330418560,10.730107,41.052098
6219,369249234769948544,10.74741,41.07153
6220,369250196847896192,10.676105,41.091951
6221,369250540445268096,10.687787,41.137517
6222,369250780963436160,10.744715,41.147907
6223,369250780960956544,10.74543,41.152401
6224,369251124558334080,10.711346,41.175947
6225,369251227637591296,10.903876,41.03397
6228,368960544249277184,11.808798,40.373174
6237,368970027536482304,11.591381,40.283235
6240,368982981157840128,11.85481,40.36167
6252,369055823805707520,10.865823,40.092088
6254,369063726544442496,10.987877,40.233696
6267,369068777424224512,10.804036,40.167284
6268,369068983584414720,10.805118,40.182328
6276,369074240625306752,10.670049,40.298024
6280,369084823423317760,10.252957,39.931708
6285,369094959546257792,10.384708,40.20883
6286,369096196496842112,10.429637,40.206216
6291,369104374114417536,10.110508,40.221128
6304,369515935059414272,17.429113,37.080355
6306,369283594511056384,10.951755,41.448085
6307,369283594511056000,10.948051,41.45222
6308,369283727652861568,10.983016,41.442606
6310,369285071982441856,11.080954,41.50965
6311,369285587376106880,11.014634,41.510736
6312,369285690455318272,11.026598,41.5288
6328,369349595270634496,17.051661,36.342041
6339,369011220567105792,11.839568,40.854865
6344,369025140556411520,10.824397,39.820299
6345,368956489798671744,11.866985,40.323186
6347,369229993316023168,10.876943,40.819695
6348,369230233837514496,10.847876,40.844869
6351,369235319078745472,11.062649,40.946454
6352,369236074993220480,11.146606,40.953416
6353,369238342735715072,10.957635,40.97072
6355,369239266150429312,10.977905,41.008963
6356,369239888923922432,11.012791,41.082315
6357,369241641273046144,10.997716,41.102957
6358,369173780784119424,11.071781,40.559747
6364,369184599806470656,11.287097,40.841329
6365,369190651419143168,11.639598,40.73706
6370,368930475181537792,12.001759,40.18343
6389,369884443253604864,18.090448,37.702439
6403,369166908842273152,11.451184,40.634552
6404,369170516612461184,11.495128,40.708723
6405,369265967963093248,11.105601,41.236642
6406,369266139764253312,11.16763,41.250142
6408,369266964400437248,11.23083,41.283324
6409,369267376717225344,11.311178,41.326926
6414,369271121926309888,11.527271,41.349688
6417,369274283024628608,11.288483,41.376237
6418,369278474910512512,11.088209,41.319495
6419,369278612346153600,11.105982,41.34568
6420,369278612346152192,11.104696,41.345932
6421,369279162104819968,11.012172,41.334649
6422,369279265181187328,11.075991,41.334674
6424,369279814942704128,11.178401,41.335688
6425,369281429844649344,11.15815,41.421176
6426,369281567283592832,11.183274,41.440226
6427,369281562990622848,11.183285,41.440707
6428,369281601643316736,11.194178,41.456752
6429,369281601646474880,11.187263,41.463953
6430,369281842164642432,11.160811,41.463025
6431,369282391920223104,10.985087,41.367469
6432,369282426276453504,11.000291,41.386551
6433,369282666798374784,11.048779,41.398314
6434,369282666798374912,11.044169,41.397528
6436,369282868659348352,10.992353,41.410641
6437,369282907316535040,11.010923,41.424087
6438,369283010395747456,11.016428,41.438512
6439,369283079114988928,10.94448,41.374475
6441,369283353989379200,10.927334,41.396085
6442,369283353992891136,10.92296,41.407102
6453,369920246101067904,18.678806,37.979005
6457,369251846112866304,10.938282,41.102382
6458,369252189710488320,10.952169,41.130077
6459,369252430230892544,10.87709,41.09507
6460,369252533307626496,10.882197,41.129529
6461,369252876905008768,10.902768,41.136694
6462,369253254858699904,10.904936,41.174738
6463,369254285654265088,10.998867,41.221023
6464,369254418795610752,11.011482,41.240154
6465,369254938489288320,10.954624,41.237678
6466,369255110284530688,10.976118,41.236571
6467,369255282086664960,11.016153,41.276155
6468,369255350803322112,10.976816,41.253755
6469,369255488245092992,11.003474,41.286798
6470,369256033703150976,10.82592,41.181847
6471,369256038000921728,10.814224,41.190257
6472,369256072357224320,10.808269,41.188797
6473,369256484677516416,10.825531,41.20811
6474,369256622116465024,10.838004,41.235608
6475,369256720897947136,10.779952,41.196752
6476,369257000073589760,10.756554,41.207466
6478,369257137512536064,10.771876,41.241248
6479,369257206232009344,10.7622,41.25626
6480,369257412390441984,10.845812,41.257048
6481,369257515469657216,10.794243,41.247581
6482,369257549831801088,10.801875,41.268024
6483,369257614254162816,10.77821,41.27475
6485,369257893426785024,10.905341,41.245421
6486,369258133944947584,10.856668,41.260304
6487,369258992938652032,10.859361,41.302126
6488,369259027298137856,10.879612,41.304059
6489,369259267818676096,10.832017,41.318627
6490,369259783212375552,10.8583,41.358795
6491,369259813274821120,10.869822,41.376946
6494,369209652354421760,11.535684,40.967703
6495,369210889303008640,11.45509,41.030383
6496,369210958026948096,11.475963,41.039758
6500,369215184272276736,11.354326,41.106142
6507,369224186523703552,11.549789,41.328198
6508,369225560909804032,10.952415,40.710254
6512,369285961036044544,11.09609,41.551758
6513,369286785669642880,11.252726,41.476637
6514,369286858688846720,11.241344,41.489942
6515,369287545881206784,11.193268,41.488259
6516,369287717676696576,11.233528,41.523119
6517,369288026919946240,11.253701,41.516849
6518,369289813623919104,11.314956,41.588091
6519,369290019784758016,11.260764,41.612575
6520,369290084206257280,11.299396,41.620187
6523,369290122861554304,11.305842,41.6266
6524,369290535176147456,11.327291,41.670416
6525,369292699842218624,11.140866,41.641257
6526,369293146521091712,11.284687,41.660517
6527,369294864508017664,11.266932,41.77247
6528,369296445050807296,16.859727,35.780125
6539,370005973648248320,18.990678,38.197307
6564,369141379554239360,10.307488,40.566142
6565,369141448273697536,10.303308,40.571477
6566,369141551352914560,10.278528,40.574682
6567,369141551349246336,10.268944,40.578909
6568,369141620070881920,10.262034,40.582874
6569,369141654428460672,10.272484,40.583149
6570,369141688790356224,10.288157,40.598032
6571,369142272905897472,10.318878,40.650813
6573,369142440417904896,10.243533,40.609768
6575,369143922174914432,10.362548,40.693683
6576,369143990894286080,10.414545,40.675875
6577,369143990892813056,10.411846,40.681759
6578,369144197052579840,10.42625,40.711104
6579,369144192755719168,10.427868,40.714532
6580,369144403210068736,10.41126,40.733094
6582,369145811959348480,10.575999,40.665833
6583,369145983757644288,10.508066,40.670248
6584,369147186349816576,10.512813,40.746414
6585,369147598666859520,10.529731,40.76943
6586,369149179214844544,10.620712,40.832196
6587,369149282293992192,10.556628,40.810775
6588,369149316652787584,10.567955,40.840048
6589,369150484883897728,10.470845,40.78602
6590,369150691040639360,10.500066,40.809433
6591,369151378235462656,10.439889,40.831902
6592,369151550036723072,10.410522,40.826751
6593,369151550035845248,10.419232,40.835172
6595,369151893632621952,10.470082,40.868087
6596,369152271591229184,10.556914,40.839292
6597,369154161373499520,10.52393,40.949459
6599,369154230095055232,10.513699,40.970515
6600,369154363238632064,10.530512,40.98922
6608,369743426592332032,16.714246,37.691874
6644,370152552292185088,17.835735,38.346549
6683,369374338577974784,16.705809,36.250166
6689,369406705451156480,16.734879,36.624242
6716,370656918892098688,15.681467,38.740327
6718,370381250711179776,17.998473,39.691613
6720,370384927202137984,17.901492,39.733274
6722,370390695342823552,18.186538,39.611397
6735,370413548864762752,18.270766,39.926968
6736,370414029901339648,18.277156,39.978213
6766,370244013620138240,17.270067,39.006696
6775,371309925719463424,16.709898,40.10459
6787,371321779829494528,16.408822,40.229856
6800,370911387114102272,15.716248,39.716893
6818,371202585896915328,17.26167,40.124578
6857,370864791012681984,15.376039,39.09078
6880,370692373846531712,16.018021,39.159716
6890,371482377246528640,16.366826,40.812895
6899,370368331449323776,17.769244,39.275151
6918,371286664176878976,16.020136,39.818518
6953,370940829114372992,15.185938,39.557333
6965,370964163672634112,15.55173,39.913982
7039,371884038292643584,19.280723,40.194305
7082,371594007739896064,20.329588,39.449857
7119,371952036213915520,18.813528,40.495489
7123,371958637580093184,18.816569,40.702162
7125,371960110752667648,18.782056,40.760668
7158,371620228516613248,19.493369,39.248093
7160,371626207109909504,19.500621,39.283279
7164,371635312442044928,19.137918,39.319156
7168,372041990009026944,19.442001,40.785529
7196,372258907333526656,21.801156,41.31974
7218,371604388677565568,19.795532,39.416496
7229,372044777444181376,19.276746,40.805436
7268,371114861189993600,16.645181,39.89993
7270,371116033715762432,16.870515,39.85931
7296,371018039742382464,16.906776,39.374311
7309,372025742148105984,19.89636,41.046604
7313,371428123219915392,16.80641,40.695707
7333,371239591334939008,17.734058,40.499014
7355,371393763481308544,15.98233,40.626692
7358,371398329031437824,16.184056,40.709672
7371,371528724243475712,17.011695,41.537014
7379,371538864656055808,16.942256,41.507396
7381,371541682154982784,16.930352,41.616971
7423,372347314940533760,21.196135,41.988525
7426,372356832587680512,21.792387,41.892402
7488,372960636270542336,17.507361,41.271853
7504,372766675547662720,17.58875,41.022082
7507,372564262329241600,20.693482,42.423048
7508,372564468485639552,20.67635,42.433368
7515,372715513896868096,18.671881,40.917035
7551,372395521653550208,20.454948,41.246552
7554,372676584313209472,18.325104,40.429609
7555,372678027422221312,18.249143,40.42213
7574,373050590064946176,16.990519,41.935653
7595,372791277119899648,18.561545,41.461466
7604,372302887798653184,22.270579,41.923448
7605,372306255053326720,22.089084,41.790517
7657,372453692690610944,20.764699,41.919709
7689,372592123780570496,20.898273,42.682402
7698,372520178784357632,19.922607,42.190457
7724,372973035840323456,17.356446,41.282814
7734,373098384461336320,18.240744,41.967668
7745,372631878003524480,20.415227,42.818515
7747,372633149308763648,20.323296,42.874464
7772,372820723415662720,18.994057,41.299123
7780,372831546733101952,18.779334,41.26318
7797,372578624699542784,21.353064,42.554601
7813,373483660209049984,19.502367,43.528386
7837,373405732321878272,19.866839,43.181953
7838,373406866193336064,19.756325,43.237642
7867,373268426511413120,19.30166,42.463552
7873,373333061475035520,18.872303,42.683697
7887,373033307115544192,17.192543,41.761595
7913,373114529243945344,17.927536,42.157721
7930,373003654662655232,18.026358,41.822881
7964,373554578708518144,18.639028,43.190587
7987,373136008373888768,18.195869,42.423538
8005,373951124448739840,15.053923,39.815773
8056,373347904881654912,19.040722,42.879666
8065,373918895012273664,14.088327,39.827864
8082,373883878145504640,13.773584,39.477202
8094,373902054446375296,13.60401,39.715425
8100,373915149802516736,14.21326,39.798194
8109,373662571367294592,18.738921,43.545147
8115,374120552317861376,13.6924,40.033327
8124,374153984342538496,13.03877,40.01052
8136,374048637386267008,14.787893,40.4184
8141,374067599665991808,14.548472,40.579837
